Magnificansat Log -> 2024-05-14 00:22:11.449437
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.38', '171.24', '-0.95', '0.00', '0.00', '-0.01', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.43', '1003.37', '171.34', '-0.84', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
['0.000000', '0.000000', '179.82', '9.49', '-39.54', '28.65', '29.42', '1003.35', '171.54', '-0.64', '0.00', '0.00', '0.05', '0.00', '7.47']
